infinitive,gerund,present participle,past participle,compound verb,indicative|present|first person singular,indicative|present|second person singular,indicative|present|third person singular,indicative|present|first person plural,indicative|present|second person plural,indicative|present|third person plural,indicative|imperfect|first person singular,indicative|imperfect|second person singular,indicative|imperfect|third person singular,indicative|imperfect|first person plural,indicative|imperfect|second person plural,indicative|imperfect|third person plural,indicative|past historic|first person singular,indicative|past historic|second person singular,indicative|past historic|third person singular,indicative|past historic|first person plural,indicative|past historic|second person plural,indicative|past historic|third person plural,indicative|future|first person singular,indicative|future|second person singular,indicative|future|third person singular,indicative|future|first person plural,indicative|future|second person plural,indicative|future|third person plural,indicative|conditional|first person singular,indicative|conditional|second person singular,indicative|conditional|third person singular,indicative|conditional|first person plural,indicative|conditional|second person plural,indicative|conditional|third person plural,subjunctive|present|first person singular,subjunctive|present|second person singular,subjunctive|present|third person singular,subjunctive|present|first person plural,subjunctive|present|second person plural,subjunctive|present|third person plural,subjunctive|imperfect|first person singular,subjunctive|imperfect|second person singular,subjunctive|imperfect|third person singular,subjunctive|imperfect|first person plural,subjunctive|imperfect|second person plural,subjunctive|imperfect|third person plural,imperative|first person singular,imperative|second person singular,imperative|third person singular,imperative|first person plural,imperative|second person plural,imperative|third person plural
maugréer,maugréant,maugréant,maugréé,avoir;être,maugrée,maugrées,maugrée,maugréons,maugréez,maugréent,maugréais,maugréais,maugréait,maugréions,maugréiez,maugréaient,maugréai,maugréas,maugréa,maugréâmes,maugréâtes,maugréèrent,maugréerai,maugréeras,maugréera,maugréerons,maugréerez,maugréeront,maugréerais,maugréerais,maugréerait,maugréerions,maugréeriez,maugréeraient,maugrée,maugrées,maugrée,maugréions,maugréiez,maugréent,maugréasse,maugréasses,maugréât,maugréassions,maugréassiez,maugréassent,,maugrée,,maugréons,maugréez,
marchander,marchandant,marchandant,marchandé,avoir,marchande,marchandes,marchande,marchandons,marchandez,marchandent,marchandais,marchandais,marchandait,marchandions,marchandiez,marchandaient,marchandai,marchandas,marchanda,marchandâmes,marchandâtes,marchandèrent,marchanderai,marchanderas,marchandera,marchanderons,marchanderez,marchanderont,marchanderais,marchanderais,marchanderait,marchanderions,marchanderiez,marchanderaient,marchande,marchandes,marchande,marchandions,marchandiez,marchandent,marchandasse,marchandasses,marchandât,marchandassions,marchandassiez,marchandassent,,marchande,,marchandons,marchandez,
menacer,menaçant,menaçant,menacé,avoir,menace,menaces,menace,menaçons,menacez,menacent,menaçais,menaçais,menaçait,menacions,menaciez,menaçaient,menaçai,menaças,menaça,menaçâmes,menaçâtes,menacèrent,menacerai,menaceras,menacera,menacerons,menacerez,menaceront,menacerais,menacerais,menacerait,menacerions,menaceriez,menaceraient,menace,menaces,menace,menacions,menaciez,menacent,menaçasse,menaçasses,menaçât,menaçassions,menaçassiez,menaçassent,,menace,,menaçons,menacez,
laïciser,laïcisant,laïcisant,laïcisé,avoir,laïcise,laïcises,laïcise,laïcisons,laïcisez,laïcisent,laïcisais,laïcisais,laïcisait,laïcisions,laïcisiez,laïcisaient,laïcisai,laïcisas,laïcisa,laïcisâmes,laïcisâtes,laïcisèrent,laïciserai,laïciseras,laïcisera,laïciserons,laïciserez,laïciseront,laïciserais,laïciserais,laïciserait,laïciserions,laïciseriez,laïciseraient,laïcise,laïcises,laïcise,laïcisions,laïcisiez,laïcisent,laïcisasse,laïcisasses,laïcisât,laïcisassions,laïcisassiez,laïcisassent,,laïcise,,laïcisons,laïcisez,
méprendre,méprenant,méprenant,mépris,avoir,méprends,méprends,méprend,méprenons,méprenez,méprennent,méprenais,méprenais,méprenait,méprenions,mépreniez,méprenaient,mépris,mépris,méprit,méprîmes,méprîtes,méprirent,méprendrai,méprendras,méprendra,méprendrons,méprendrez,méprendront,méprendrais,méprendrais,méprendrait,méprendrions,méprendriez,méprendraient,méprenne,méprennes,méprenne,méprenions,mépreniez,méprennent,méprisse,méprisses,méprît,méprissions,méprissiez,méprissent,,méprends,,méprenons,méprenez,
ligaturer,ligaturant,ligaturant,ligaturé,avoir,ligature,ligatures,ligature,ligaturons,ligaturez,ligaturent,ligaturais,ligaturais,ligaturait,ligaturions,ligaturiez,ligaturaient,ligaturai,ligaturas,ligatura,ligaturâmes,ligaturâtes,ligaturèrent,ligaturerai,ligatureras,ligaturera,ligaturerons,ligaturerez,ligatureront,ligaturerais,ligaturerais,ligaturerait,ligaturerions,ligatureriez,ligatureraient,ligature,ligatures,ligature,ligaturions,ligaturiez,ligaturent,ligaturasse,ligaturasses,ligaturât,ligaturassions,ligaturassiez,ligaturassent,,ligature,,ligaturons,ligaturez,
matelasser,matelassant,matelassant,matelassé,avoir,matelasse,matelasses,matelasse,matelassons,matelassez,matelassent,matelassais,matelassais,matelassait,matelassions,matelassiez,matelassaient,matelassai,matelassas,matelassa,matelassâmes,matelassâtes,matelassèrent,matelasserai,matelasseras,matelassera,matelasserons,matelasserez,matelasseront,matelasserais,matelasserais,matelasserait,matelasserions,matelasseriez,matelasseraient,matelasse,matelasses,matelasse,matelassions,matelassiez,matelassent,matelassasse,matelassasses,matelassât,matelassassions,matelassassiez,matelassassent,,matelasse,,matelassons,matelassez,
lotir,lotissant,lotissant,loti,avoir,lotis,lotis,lotit,lotissons,lotissez,lotissent,lotissais,lotissais,lotissait,lotissions,lotissiez,lotissaient,lotis,lotis,lotit,lotîmes,lotîtes,lotirent,lotirai,lotiras,lotira,lotirons,lotirez,lotiront,lotirais,lotirais,lotirait,lotirions,lotiriez,lotiraient,lotisse,lotisses,lotisse,lotissions,lotissiez,lotissent,lotisse,lotisses,lotît,lotissions,lotissiez,lotissent,,lotis,,lotissons,lotissez,
ligner,lignant,lignant,ligné,avoir,ligne,lignes,ligne,lignons,lignez,lignent,lignais,lignais,lignait,lignions,ligniez,lignaient,lignai,lignas,ligna,lignâmes,lignâtes,lignèrent,lignerai,ligneras,lignera,lignerons,lignerez,ligneront,lignerais,lignerais,lignerait,lignerions,ligneriez,ligneraient,ligne,lignes,ligne,lignions,ligniez,lignent,lignasse,lignasses,lignât,lignassions,lignassiez,lignassent,,ligne,,lignons,lignez,
lamer,lamant,lamant,lamé,avoir,lame,lames,lame,lamons,lamez,lament,lamais,lamais,lamait,lamions,lamiez,lamaient,lamai,lamas,lama,lamâmes,lamâtes,lamèrent,lamerai,lameras,lamera,lamerons,lamerez,lameront,lamerais,lamerais,lamerait,lamerions,lameriez,lameraient,lame,lames,lame,lamions,lamiez,lament,lamasse,lamasses,lamât,lamassions,lamassiez,lamassent,,lame,,lamons,lamez,
laper,lapant,lapant,lapé,avoir,lape,lapes,lape,lapons,lapez,lapent,lapais,lapais,lapait,lapions,lapiez,lapaient,lapai,lapas,lapa,lapâmes,lapâtes,lapèrent,laperai,laperas,lapera,laperons,laperez,laperont,laperais,laperais,laperait,laperions,laperiez,laperaient,lape,lapes,lape,lapions,lapiez,lapent,lapasse,lapasses,lapât,lapassions,lapassiez,lapassent,,lape,,lapons,lapez,
loguer,loguant,loguant,logué,avoir,logue,logues,logue,loguons,loguez,loguent,loguais,loguais,loguait,loguions,loguiez,loguaient,loguai,loguas,logua,loguâmes,loguâtes,loguèrent,loguerai,logueras,loguera,loguerons,loguerez,logueront,loguerais,loguerais,loguerait,loguerions,logueriez,logueraient,logue,logues,logue,loguions,loguiez,loguent,loguasse,loguasses,loguât,loguassions,loguassiez,loguassent,,logue,,loguons,loguez,
longer,longeant,longeant,longé,avoir,longe,longes,longe,longeons,longez,longent,longeais,longeais,longeait,longions,longiez,longeaient,longeai,longeas,longea,longeâmes,longeâtes,longèrent,longerai,longeras,longera,longerons,longerez,longeront,longerais,longerais,longerait,longerions,longeriez,longeraient,longe,longes,longe,longions,longiez,longent,longeasse,longeasses,longeât,longeassions,longeassiez,longeassent,,longe,,longeons,longez,
lamenter,lamentant,lamentant,lamenté,avoir,lamente,lamentes,lamente,lamentons,lamentez,lamentent,lamentais,lamentais,lamentait,lamentions,lamentiez,lamentaient,lamentai,lamentas,lamenta,lamentâmes,lamentâtes,lamentèrent,lamenterai,lamenteras,lamentera,lamenterons,lamenterez,lamenteront,lamenterais,lamenterais,lamenterait,lamenterions,lamenteriez,lamenteraient,lamente,lamentes,lamente,lamentions,lamentiez,lamentent,lamentasse,lamentasses,lamentât,lamentassions,lamentassiez,lamentassent,,lamente,,lamentons,lamentez,
licencier,licenciant,licenciant,licencié,avoir,licencie,licencies,licencie,licencions,licenciez,licencient,licenciais,licenciais,licenciait,licenciions,licenciiez,licenciaient,licenciai,licencias,licencia,licenciâmes,licenciâtes,licencièrent,licencierai,licencieras,licenciera,licencierons,licencierez,licencieront,licencierais,licencierais,licencierait,licencierions,licencieriez,licencieraient,licencie,licencies,licencie,licenciions,licenciiez,licencient,licenciasse,licenciasses,licenciât,licenciassions,licenciassiez,licenciassent,,licencie,,licencions,licenciez,
masculiniser,masculinisant,masculinisant,masculinisé,avoir,masculinise,masculinises,masculinise,masculinisons,masculinisez,masculinisent,masculinisais,masculinisais,masculinisait,masculinisions,masculinisiez,masculinisaient,masculinisai,masculinisas,masculinisa,masculinisâmes,masculinisâtes,masculinisèrent,masculiniserai,masculiniseras,masculinisera,masculiniserons,masculiniserez,masculiniseront,masculiniserais,masculiniserais,masculiniserait,masculiniserions,masculiniseriez,masculiniseraient,masculinise,masculinises,masculinise,masculinisions,masculinisiez,masculinisent,masculinisasse,masculinisasses,masculinisât,masculinisassions,masculinisassiez,masculinisassent,,masculinise,,masculinisons,masculinisez,
loger,logeant,logeant,logé,avoir,loge,loges,loge,logeons,logez,logent,logeais,logeais,logeait,logions,logiez,logeaient,logeai,logeas,logea,logeâmes,logeâtes,logèrent,logerai,logeras,logera,logerons,logerez,logeront,logerais,logerais,logerait,logerions,logeriez,logeraient,loge,loges,loge,logions,logiez,logent,logeasse,logeasses,logeât,logeassions,logeassiez,logeassent,,loge,,logeons,logez,
luire,luisant,luisant,lui,avoir,luis,luis,luit,luisons,luisez,luisent,luisais,luisais,luisait,luisions,luisiez,luisaient,luis,luis,luit,luîmes,luîtes,luirent,luirai,luiras,luira,luirons,luirez,luiront,luirais,luirais,luirait,luirions,luiriez,luiraient,luise,luises,luise,luisions,luisiez,luisent,luisisse,luisisses,luisisse,luisissions,luisissiez,luisissent,,luis,,luisons,luisez,
mélodramatiser,mélodramatisant,mélodramatisant,mélodramatisé,avoir,mélodramatise,mélodramatises,mélodramatise,mélodramatisons,mélodramatisez,mélodramatisent,mélodramatisais,mélodramatisais,mélodramatisait,mélodramatisions,mélodramatisiez,mélodramatisaient,mélodramatisai,mélodramatisas,mélodramatisa,mélodramatisâmes,mélodramatisâtes,mélodramatisèrent,mélodramatiserai,mélodramatiseras,mélodramatisera,mélodramatiserons,mélodramatiserez,mélodramatiseront,mélodramatiserais,mélodramatiserais,mélodramatiserait,mélodramatiserions,mélodramatiseriez,mélodramatiseraient,mélodramatise,mélodramatises,mélodramatise,mélodramatisions,mélodramatisiez,mélodramatisent,mélodramatisasse,mélodramatisasses,mélodramatisât,mélodramatisassions,mélodramatisassiez,mélodramatisassent,,mélodramatise,,mélodramatisons,mélodramatisez,
mégoter,mégotant,mégotant,mégoté,avoir,mégote,mégotes,mégote,mégotons,mégotez,mégotent,mégotais,mégotais,mégotait,mégotions,mégotiez,mégotaient,mégotai,mégotas,mégota,mégotâmes,mégotâtes,mégotèrent,mégoterai,mégoteras,mégotera,mégoterons,mégoterez,mégoteront,mégoterais,mégoterais,mégoterait,mégoterions,mégoteriez,mégoteraient,mégote,mégotes,mégote,mégotions,mégotiez,mégotent,mégotasse,mégotasses,mégotât,mégotassions,mégotassiez,mégotassent,,mégote,,mégotons,mégotez,
malmener,malmenant,malmenant,malmené,avoir;être,malmène,malmènes,malmène,malmenons,malmenez,malmènent,malmenais,malmenais,malmenait,malmenions,malmeniez,malmenaient,malmenai,malmenas,malmena,malmenâmes,malmenâtes,malmenèrent,malmènerai,malmèneras,malmènera,malmènerons,malmènerez,malmèneront,malmènerais,malmènerais,malmènerait,malmènerions,malmèneriez,malmèneraient,malmène,malmènes,malmène,malmenions,malmeniez,malmènent,malmenasse,malmenasses,malmenât,malmenassions,malmenassiez,malmenassent,,malmène,,malmenons,malmenez,
magnifier,magnifiant,magnifiant,magnifié,avoir,magnifie,magnifies,magnifie,magnifions,magnifiez,magnifient,magnifiais,magnifiais,magnifiait,magnifiions,magnifiiez,magnifiaient,magnifiai,magnifias,magnifia,magnifiâmes,magnifiâtes,magnifièrent,magnifierai,magnifieras,magnifiera,magnifierons,magnifierez,magnifieront,magnifierais,magnifierais,magnifierait,magnifierions,magnifieriez,magnifieraient,magnifie,magnifies,magnifie,magnifiions,magnifiiez,magnifient,magnifiasse,magnifiasses,magnifiât,magnifiassions,magnifiassiez,magnifiassent,,magnifie,,magnifions,magnifiez,
niquer,niquant,niquant,niqué,avoir,nique,niques,nique,niquons,niquez,niquent,niquais,niquais,niquait,niquions,niquiez,niquaient,niquai,niquas,niqua,niquâmes,niquâtes,niquèrent,niquerai,niqueras,niquera,niquerons,niquerez,niqueront,niquerais,niquerais,niquerait,niquerions,niqueriez,niqueraient,nique,niques,nique,niquions,niquiez,niquent,niquasse,niquasses,niquât,niquassions,niquassiez,niquassent,,nique,,niquons,niquez,
métrer,métrant,métrant,métré,avoir;être,mètre,mètres,mètre,métrons,métrez,mètrent,métrais,métrais,métrait,métrions,métriez,métraient,métrai,métras,métra,métrâmes,métrâtes,métrèrent,mètrerai;métrerai,mètreras;métreras,mètrera;métrera,mètrerons;métrerons,mètrerez;métrerez,mètreront;métreront,mètrerais;métrerais,mètrerais;métrerais,mètrerait;métrerait,mètrerions;métrerions,mètreriez;métreriez,mètreraient;métreraient,mètre,mètres,mètre,métrions,métriez,mètrent,métrasse,métrasses,métrât,métrassions,métrassiez,métrassent,,mètre,,métrons,métrez,
mimer,mimant,mimant,mimé,avoir,mime,mimes,mime,mimons,mimez,miment,mimais,mimais,mimait,mimions,mimiez,mimaient,mimai,mimas,mima,mimâmes,mimâtes,mimèrent,mimerai,mimeras,mimera,mimerons,mimerez,mimeront,mimerais,mimerais,mimerait,mimerions,mimeriez,mimeraient,mime,mimes,mime,mimions,mimiez,miment,mimasse,mimasses,mimât,mimassions,mimassiez,mimassent,,mime,,mimons,mimez,
naturaliser,naturalisant,naturalisant,naturalisé,avoir,naturalise,naturalises,naturalise,naturalisons,naturalisez,naturalisent,naturalisais,naturalisais,naturalisait,naturalisions,naturalisiez,naturalisaient,naturalisai,naturalisas,naturalisa,naturalisâmes,naturalisâtes,naturalisèrent,naturaliserai,naturaliseras,naturalisera,naturaliserons,naturaliserez,naturaliseront,naturaliserais,naturaliserais,naturaliserait,naturaliserions,naturaliseriez,naturaliseraient,naturalise,naturalises,naturalise,naturalisions,naturalisiez,naturalisent,naturalisasse,naturalisasses,naturalisât,naturalisassions,naturalisassiez,naturalisassent,,naturalise,,naturalisons,naturalisez,
monnayer,monnayant,monnayant,monnayé,avoir,monnaye;monnaie,monnayes;monnaies,monnaye;monnaie,monnayons,monnayez,monnayent;monnaient,monnayais,monnayais,monnayait,monnayions,monnayiez,monnayaient,monnayai,monnayas,monnaya,monnayâmes,monnayâtes,monnayèrent,monnayerai;monnaierai,monnayeras;monnaieras,monnayera;monnaiera,monnayerons;monnaierons,monnayerez;monnaierez,monnayeront;monnaieront,monnayerais;monnaierais,monnayerais;monnaierais,monnayerait;monnaierait,monnayerions;monnaierions,monnayeriez;monnaieriez,monnayeraient;monnaieraient,monnaye;monnaie,monnayes;monnaies,monnaye;monnaie,monnayions,monnayiez,monnayent;monnaient,monnayasse,monnayasses,monnayât,monnayassions,monnayassiez,monnayassent,,monnaye;monnaie,,monnayons,monnayez,
nier,niant,niant,nié,avoir,nie,nies,nie,nions,niez,nient,niais,niais,niait,niions,niiez,niaient,niai,nias,nia,niâmes,niâtes,nièrent,nierai,nieras,niera,nierons,nierez,nieront,nierais,nierais,nierait,nierions,nieriez,nieraient,nie,nies,nie,niions,niiez,nient,niasse,niasses,niât,niassions,niassiez,niassent,,nie,,nions,niez,
nucléariser,nucléarisant,nucléarisant,nucléarisé,avoir,nucléarise,nucléarises,nucléarise,nucléarisons,nucléarisez,nucléarisent,nucléarisais,nucléarisais,nucléarisait,nucléarisions,nucléarisiez,nucléarisaient,nucléarisai,nucléarisas,nucléarisa,nucléarisâmes,nucléarisâtes,nucléarisèrent,nucléariserai,nucléariseras,nucléarisera,nucléariserons,nucléariserez,nucléariseront,nucléariserais,nucléariserais,nucléariserait,nucléariserions,nucléariseriez,nucléariseraient,nucléarise,nucléarises,nucléarise,nucléarisions,nucléarisiez,nucléarisent,nucléarisasse,nucléarisasses,nucléarisât,nucléarisassions,nucléarisassiez,nucléarisassent,,nucléarise,,nucléarisons,nucléarisez,
natter,nattant,nattant,natté,avoir,natte,nattes,natte,nattons,nattez,nattent,nattais,nattais,nattait,nattions,nattiez,nattaient,nattai,nattas,natta,nattâmes,nattâtes,nattèrent,natterai,natteras,nattera,natterons,natterez,natteront,natterais,natterais,natterait,natterions,natteriez,natteraient,natte,nattes,natte,nattions,nattiez,nattent,nattasse,nattasses,nattât,nattassions,nattassiez,nattassent,,natte,,nattons,nattez,
mithridatiser,mithridatisant,mithridatisant,mithridatisé,avoir,mithridatise,mithridatises,mithridatise,mithridatisons,mithridatisez,mithridatisent,mithridatisais,mithridatisais,mithridatisait,mithridatisions,mithridatisiez,mithridatisaient,mithridatisai,mithridatisas,mithridatisa,mithridatisâmes,mithridatisâtes,mithridatisèrent,mithridatiserai,mithridatiseras,mithridatisera,mithridatiserons,mithridatiserez,mithridatiseront,mithridatiserais,mithridatiserais,mithridatiserait,mithridatiserions,mithridatiseriez,mithridatiseraient,mithridatise,mithridatises,mithridatise,mithridatisions,mithridatisiez,mithridatisent,mithridatisasse,mithridatisasses,mithridatisât,mithridatisassions,mithridatisassiez,mithridatisassent,,mithridatise,,mithridatisons,mithridatisez,
obséder,obsédant,obsédant,obsédé,avoir;être,obsède,obsèdes,obsède,obsédons,obsédez,obsèdent,obsédais,obsédais,obsédait,obsédions,obsédiez,obsédaient,obsédai,obsédas,obséda,obsédâmes,obsédâtes,obsédèrent,obsèderai;obséderai,obsèderas;obséderas,obsèdera;obsédera,obsèderons;obséderons,obsèderez;obséderez,obsèderont;obséderont,obsèderais;obséderais,obsèderais;obséderais,obsèderait;obséderait,obsèderions;obséderions,obsèderiez;obséderiez,obsèderaient;obséderaient,obsède,obsèdes,obsède,obsédions,obsédiez,obsèdent,obsédasse,obsédasses,obsédât,obsédassions,obsédassiez,obsédassent,,obsède,,obsédons,obsédez,
muser,musant,musant,musé,avoir,muse,muses,muse,musons,musez,musent,musais,musais,musait,musions,musiez,musaient,musai,musas,musa,musâmes,musâtes,musèrent,muserai,museras,musera,muserons,muserez,museront,muserais,muserais,muserait,muserions,museriez,museraient,muse,muses,muse,musions,musiez,musent,musasse,musasses,musât,musassions,musassiez,musassent,,muse,,musons,musez,
miter,mitant,mitant,mité,avoir,mite,mites,mite,mitons,mitez,mitent,mitais,mitais,mitait,mitions,mitiez,mitaient,mitai,mitas,mita,mitâmes,mitâtes,mitèrent,miterai,miteras,mitera,miterons,miterez,miteront,miterais,miterais,miterait,miterions,miteriez,miteraient,mite,mites,mite,mitions,mitiez,mitent,mitasse,mitasses,mitât,mitassions,mitassiez,mitassent,,mite,,mitons,mitez,
miraculer,miraculant,miraculant,miraculé,avoir,miracule,miracules,miracule,miraculons,miraculez,miraculent,miraculais,miraculais,miraculait,miraculions,miraculiez,miraculaient,miraculai,miraculas,miracula,miraculâmes,miraculâtes,miraculèrent,miraculerai,miraculeras,miraculera,miraculerons,miraculerez,miraculeront,miraculerais,miraculerais,miraculerait,miraculerions,miraculeriez,miraculeraient,miracule,miracules,miracule,miraculions,miraculiez,miraculent,miraculasse,miraculasses,miraculât,miraculassions,miraculassiez,miraculassent,,miracule,,miraculons,miraculez,
monitorer,monitorant,monitorant,monitoré,avoir;être,monitore,monitores,monitore,monitorons,monitorez,monitorent,monitorais,monitorais,monitorait,monitorions,monitoriez,monitoraient,monitorai,monitoras,monitora,monitorâmes,monitorâtes,monitorèrent,monitorerai,monitoreras,monitorera,monitorerons,monitorerez,monitoreront,monitorerais,monitorerais,monitorerait,monitorerions,monitoreriez,monitoreraient,monitore,monitores,monitore,monitorions,monitoriez,monitorent,monitorasse,monitorasses,monitorât,monitorassions,monitorassiez,monitorassent,,monitore,,monitorons,monitorez,
minéraliser,minéralisant,minéralisant,minéralisé,avoir,minéralise,minéralises,minéralise,minéralisons,minéralisez,minéralisent,minéralisais,minéralisais,minéralisait,minéralisions,minéralisiez,minéralisaient,minéralisai,minéralisas,minéralisa,minéralisâmes,minéralisâtes,minéralisèrent,minéraliserai,minéraliseras,minéralisera,minéraliserons,minéraliserez,minéraliseront,minéraliserais,minéraliserais,minéraliserait,minéraliserions,minéraliseriez,minéraliseraient,minéralise,minéralises,minéralise,minéralisions,minéralisiez,minéralisent,minéralisasse,minéralisasses,minéralisât,minéralisassions,minéralisassiez,minéralisassent,,minéralise,,minéralisons,minéralisez,
mettre,mettant,mettant,mis,avoir,mets,mets,met,mettons,mettez,mettent,mettais,mettais,mettait,mettions,mettiez,mettaient,mis,mis,mit,mîmes,mîtes,mirent,mettrai,mettras,mettra,mettrons,mettrez,mettront,mettrais,mettrais,mettrait,mettrions,mettriez,mettraient,mette,mettes,mette,mettions,mettiez,mettent,misse,misses,mît,missions,missiez,missent,,mets,,mettons,mettez,
naitre,naissant,naissant,né,être,nais,nais,nait,naissons,naissez,naissent,naissais,naissais,naissait,naissions,naissiez,naissaient,naquis,naquis,naquit,naquîmes,naquîtes,naquirent,naitrai,naitras,naitra,naitrons,naitrez,naitront,naitrais,naitrais,naitrait,naitrions,naitriez,naitraient,naisse,naisses,naisse,naissions,naissiez,naissent,naquisse,naquisses,naquît,naquissions,naquissiez,naquissent,,nais,,naissons,naissez,
montrer,montrant,montrant,montré,avoir,montre,montres,montre,montrons,montrez,montrent,montrais,montrais,montrait,montrions,montriez,montraient,montrai,montras,montra,montrâmes,montrâtes,montrèrent,montrerai,montreras,montrera,montrerons,montrerez,montreront,montrerais,montrerais,montrerait,montrerions,montreriez,montreraient,montre,montres,montre,montrions,montriez,montrent,montrasse,montrasses,montrât,montrassions,montrassiez,montrassent,,montre,,montrons,montrez,
mollarder,mollardant,mollardant,mollardé,avoir,mollarde,mollardes,mollarde,mollardons,mollardez,mollardent,mollardais,mollardais,mollardait,mollardions,mollardiez,mollardaient,mollardai,mollardas,mollarda,mollardâmes,mollardâtes,mollardèrent,mollarderai,mollarderas,mollardera,mollarderons,mollarderez,mollarderont,mollarderais,mollarderais,mollarderait,mollarderions,mollarderiez,mollarderaient,mollarde,mollardes,mollarde,mollardions,mollardiez,mollardent,mollardasse,mollardasses,mollardât,mollardassions,mollardassiez,mollardassent,,mollarde,,mollardons,mollardez,
mâtiner,mâtinant,mâtinant,mâtiné,avoir,mâtine,mâtines,mâtine,mâtinons,mâtinez,mâtinent,mâtinais,mâtinais,mâtinait,mâtinions,mâtiniez,mâtinaient,mâtinai,mâtinas,mâtina,mâtinâmes,mâtinâtes,mâtinèrent,mâtinerai,mâtineras,mâtinera,mâtinerons,mâtinerez,mâtineront,mâtinerais,mâtinerais,mâtinerait,mâtinerions,mâtineriez,mâtineraient,mâtine,mâtines,mâtine,mâtinions,mâtiniez,mâtinent,mâtinasse,mâtinasses,mâtinât,mâtinassions,mâtinassiez,mâtinassent,,mâtine,,mâtinons,mâtinez,
nouer,nouant,nouant,noué,avoir,noue,noues,noue,nouons,nouez,nouent,nouais,nouais,nouait,nouions,nouiez,nouaient,nouai,nouas,noua,nouâmes,nouâtes,nouèrent,nouerai,noueras,nouera,nouerons,nouerez,noueront,nouerais,nouerais,nouerait,nouerions,noueriez,noueraient,noue,noues,noue,nouions,nouiez,nouent,nouasse,nouasses,nouât,nouassions,nouassiez,nouassent,,noue,,nouons,nouez,
noter,notant,notant,noté,avoir,note,notes,note,notons,notez,notent,notais,notais,notait,notions,notiez,notaient,notai,notas,nota,notâmes,notâtes,notèrent,noterai,noteras,notera,noterons,noterez,noteront,noterais,noterais,noterait,noterions,noteriez,noteraient,note,notes,note,notions,notiez,notent,notasse,notasses,notât,notassions,notassiez,notassent,,note,,notons,notez,
monologuer,monologuant,monologuant,monologué,avoir,monologue,monologues,monologue,monologuons,monologuez,monologuent,monologuais,monologuais,monologuait,monologuions,monologuiez,monologuaient,monologuai,monologuas,monologua,monologuâmes,monologuâtes,monologuèrent,monologuerai,monologueras,monologuera,monologuerons,monologuerez,monologueront,monologuerais,monologuerais,monologuerait,monologuerions,monologueriez,monologueraient,monologue,monologues,monologue,monologuions,monologuiez,monologuent,monologuasse,monologuasses,monologuât,monologuassions,monologuassiez,monologuassent,,monologue,,monologuons,monologuez,
objecter,objectant,objectant,objecté,avoir,objecte,objectes,objecte,objectons,objectez,objectent,objectais,objectais,objectait,objections,objectiez,objectaient,objectai,objectas,objecta,objectâmes,objectâtes,objectèrent,objecterai,objecteras,objectera,objecterons,objecterez,objecteront,objecterais,objecterais,objecterait,objecterions,objecteriez,objecteraient,objecte,objectes,objecte,objections,objectiez,objectent,objectasse,objectasses,objectât,objectassions,objectassiez,objectassent,,objecte,,objectons,objectez,
modéliser,modélisant,modélisant,modélisé,avoir;être,modélise,modélises,modélise,modélisons,modélisez,modélisent,modélisais,modélisais,modélisait,modélisions,modélisiez,modélisaient,modélisai,modélisas,modélisa,modélisâmes,modélisâtes,modélisèrent,modéliserai,modéliseras,modélisera,modéliserons,modéliserez,modéliseront,modéliserais,modéliserais,modéliserait,modéliserions,modéliseriez,modéliseraient,modélise,modélises,modélise,modélisions,modélisiez,modélisent,modélisasse,modélisasses,modélisât,modélisassions,modélisassiez,modélisassent,,modélise,,modélisons,modélisez,
mousser,moussant,moussant,moussé,avoir,mousse,mousses,mousse,moussons,moussez,moussent,moussais,moussais,moussait,moussions,moussiez,moussaient,moussai,moussas,moussa,moussâmes,moussâtes,moussèrent,mousserai,mousseras,moussera,mousserons,mousserez,mousseront,mousserais,mousserais,mousserait,mousserions,mousseriez,mousseraient,mousse,mousses,mousse,moussions,moussiez,moussent,moussasse,moussasses,moussât,moussassions,moussassiez,moussassent,,mousse,,moussons,moussez,
neigeoter,neigeotant,neigeotant,neigeoté,avoir,,,neigeote,,,,,,neigeotait,,,,,,neigeota,,,,,,neigeotera,,,,,,neigeoterait,,,,,,neigeote,,,,,,neigeotât,,,,,,,,,
nager,nageant,nageant,nagé,avoir,nage,nages,nage,nageons,nagez,nagent,nageais,nageais,nageait,nagions,nagiez,nageaient,nageai,nageas,nagea,nageâmes,nageâtes,nagèrent,nagerai,nageras,nagera,nagerons,nagerez,nageront,nagerais,nagerais,nagerait,nagerions,nageriez,nageraient,nage,nages,nage,nagions,nagiez,nagent,nageasse,nageasses,nageât,nageassions,nageassiez,nageassent,,nage,,nageons,nagez,
mordre,mordant,mordant,mordu,avoir,mords,mords,mord,mordons,mordez,mordent,mordais,mordais,mordait,mordions,mordiez,mordaient,mordis,mordis,mordit,mordîmes,mordîtes,mordirent,mordrai,mordras,mordra,mordrons,mordrez,mordront,mordrais,mordrais,mordrait,mordrions,mordriez,mordraient,morde,mordes,morde,mordions,mordiez,mordent,mordisse,mordisses,mordît,mordissions,mordissiez,mordissent,,mords,,mordons,mordez,
